Date,Description,Reference,Debit,Credit,Balance
01-04-2024,AWS EMEA SERVICE,AWS-1001,12000.00,,500000.00
05-04-2024,ZOOM VIDEO COMM,ZOOM-882,4500.00,,495500.00
10-04-2024,Client Payment,, ,150000.00,645500.00
12-04-2024,UBER RIDES,UBER-221,850.00,,644650.00
15-04-2024,ADOBE CREATIVE CLOUD,ADOBE-99,3500.00,,641150.00
18-04-2024,Office Rent,RENT-APR,45000.00,,596150.00
20-04-2024,Salary Payment,SAL-001,250000.00,,346150.00
22-04-2024,Swiggy (Staff Lunch),FOOD-11,1200.00,,344950.00
25-04-2024,Apple Store (Macbook),DEV-HARDWARE,185000.00,,159950.00
28-04-2024,Google Workspace,GSUITE-22,1500.00,,158450.00
